contract,network,type
20011237,Master Ouro,Diagnósticos
20011474,Master Ouro,Diagnósticos
20011520,Master Ouro,Diagnósticos
20011547,Master Ouro,Diagnósticos
20011687,Master Ouro,Diagnósticos
20011733,Master Ouro,Diagnósticos
20011962,Master Ouro,Diagnósticos
20012047,Master Ouro,Diagnósticos
20012179,Master Ouro,Diagnósticos
20012365,Master Ouro,Diagnósticos
20012420,Master Ouro,Diagnósticos
20012497,Master Ouro,Diagnósticos
20012500,Master Ouro,Clinicas
20012578,Master Ouro,Diagnósticos
20012594,Master Ouro,Diagnósticos
20012667,Master Ouro,Diagnósticos
20012829,Master Ouro,Diagnósticos
20013132,Master Ouro,Diagnósticos
20013272,Master Ouro,Diagnósticos
20013280,Master Ouro,Diagnósticos
20013531,Master Ouro,Diagnósticos
20014236,Master Ouro,Diagnósticos
20014562,Master Ouro,Clinicas
20045069,Master Ouro,Diagnósticos
20045085,Master Ouro,Diagnósticos
20045107,Master Ouro,Diagnósticos
20045166,Master Ouro,Diagnósticos
20045247,Master Ouro,Diagnósticos
20045263,Master Ouro,Diagnósticos
20045310,Master Ouro,Diagnósticos
20045808,Master Ouro,Diagnósticos
20046049,Master Ouro,Diagnósticos
20046766,Master Ouro,Diagnósticos
20058594,Master Ouro,Diagnósticos
20059787,Master Ouro,Clinicas
20060076,Master Ouro,Diagnósticos
20060181,Master Ouro,Diagnósticos
20060289,Master Ouro,Diagnósticos
20060394,Master Ouro,Diagnósticos
20060491,Master Ouro,Clinicas
20060513,Master Ouro,Diagnósticos
20060599,Master Ouro,Diagnósticos
20060629,Master Ouro,Diagnósticos
20060637,Master Ouro,Diagnósticos
20060815,Master Ouro,Diagnósticos
20061099,Master Ouro,Diagnósticos
20061838,Master Ouro,Diagnósticos
20061870,Master Ouro,Diagnósticos
20062052,Master Ouro,Diagnósticos
20064063,Master Ouro,Diagnósticos
20064381,Master Ouro,Diagnósticos
20064543,Master Ouro,Diagnósticos
20068158,Master Ouro,Diagnósticos
20068174,Master Ouro,Diagnósticos
20068204,Master Ouro,Clinicas
20068255,Master Ouro,Diagnósticos
20068557,Master Ouro,Diagnósticos
20068565,Master Ouro,Diagnósticos
20068824,Master Ouro,Diagnósticos
20068867,Master Ouro,Diagnósticos
20069030,Master Ouro,Diagnósticos
20069103,Master Ouro,Diagnósticos
20069219,Master Ouro,Diagnósticos
20069758,Master Ouro,Diagnósticos
20069766,Master Ouro,Diagnósticos
20069774,Master Ouro,Diagnósticos
20069804,Master Ouro,Diagnósticos
20069820,Master Ouro,Diagnósticos
20070152,Master Ouro,Diagnósticos
20070179,Master Ouro,Diagnósticos
20070330,Master Ouro,Diagnósticos
20070349,Master Ouro,Diagnósticos
20070420,Master Ouro,Diagnósticos
20070586,Master Ouro,Diagnósticos
20070713,Master Ouro,Diagnósticos
20070748,Master Ouro,Diagnósticos
20070896,Master Ouro,Clinicas
20071019,Master Ouro,Clinicas
20071043,Master Ouro,Diagnósticos
20071124,Master Ouro,Diagnósticos
20071140,Master Ouro,Diagnósticos
20071213,Master Ouro,Diagnósticos
20071434,Master Ouro,Diagnósticos
20071574,Master Ouro,Diagnósticos
20071590,Master Ouro,Clinicas
20075472,Master Ouro,Diagnósticos
20075510,Master Ouro,Diagnósticos
20075596,Master Ouro,Diagnósticos
20075782,Master Ouro,Diagnósticos
20076371,Master Ouro,Diagnósticos
20076827,Master Ouro,Diagnósticos
20076983,Master Ouro,Diagnósticos
20077165,Master Ouro,Diagnósticos
20077238,Master Ouro,Diagnósticos
20077289,Master Ouro,Diagnósticos
20077300,Master Ouro,Diagnósticos
20077386,Master Ouro,Diagnósticos
20077408,Master Ouro,Diagnósticos
20077521,Master Ouro,Diagnósticos
20077530,Master Ouro,Diagnósticos
20084722,Master Ouro,Clinicas
20084994,Master Ouro,Clinicas
20085036,Master Ouro,Diagnósticos
20085079,Master Ouro,Diagnósticos
20085273,Master Ouro,Diagnósticos
20085613,Master Ouro,Diagnósticos
20085850,Master Ouro,Diagnósticos
20085931,Master Ouro,Diagnósticos
20085974,Master Ouro,Diagnósticos
20086091,Master Ouro,Diagnósticos
20086172,Master Ouro,Diagnósticos
20086512,Master Ouro,Diagnósticos
20086563,Master Ouro,Diagnósticos
20086636,Master Ouro,Diagnósticos
20086695,Master Ouro,Diagnósticos
20086733,Master Ouro,Diagnósticos
20086849,Master Ouro,Diagnósticos
20086911,Master Ouro,Diagnósticos
20087012,Master Ouro,Diagnósticos
20087160,Master Ouro,Diagnósticos
20087217,Master Ouro,Clinicas
20088205,Master Ouro,Diagnósticos
20088442,Master Ouro,Diagnósticos
20088680,Master Ouro,Diagnósticos
20088965,Master Ouro,Diagnósticos
20089082,Master Ouro,Diagnósticos
20089368,Master Ouro,Diagnósticos
20089783,Master Ouro,Clinicas
20089864,Master Ouro,Clinicas
20090439,Master Ouro,Diagnósticos
20090749,Master Ouro,Clinicas
20091222,Master Ouro,Diagnósticos
20094345,Master Ouro,Diagnósticos
20094779,Master Ouro,Diagnósticos
20099380,Master Ouro,Diagnósticos
20099770,Master Ouro,Diagnósticos
20099827,Master Ouro,Diagnósticos
20101147,Master Ouro,Diagnósticos
20101805,Master Ouro,Diagnósticos
20101929,Master Ouro,Diagnósticos
20101961,Master Ouro,Diagnósticos
20102461,Master Ouro,Clinicas
20102780,Master Ouro,Diagnósticos
20102860,Master Ouro,Diagnósticos
20110634,Master Ouro,Diagnósticos
20111427,Master Ouro,Diagnósticos
20111438,Master Ouro,Diagnósticos
20111445,Master Ouro,Diagnósticos
20111452,Master Ouro,Diagnósticos
20111454,Master Ouro,Diagnósticos
20111455,Master Ouro,Diagnósticos
20111456,Master Ouro,Diagnósticos
20111457,Master Ouro,Diagnósticos
20111460,Master Ouro,Diagnósticos
20111467,Master Ouro,Diagnósticos
20111468,Master Ouro,Diagnósticos
20111470,Master Ouro,Diagnósticos
20111472,Master Ouro,Diagnósticos
20111473,Master Ouro,Diagnósticos
20111474,Master Ouro,Diagnósticos
20111478,Master Ouro,Diagnósticos
20111484,Master Ouro,Diagnósticos
20111485,Master Ouro,Clinicas
20111497,Master Ouro,Diagnósticos
20111507,Master Ouro,Diagnósticos
